URL,DATE,PRICE
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/4f/4fb9c0f4-1405-4e2a-9395-ca3c5d52c1ef?rule=kijijica-200-jpg,< 48 minutes ago,"$1,650.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e1/e1dce212-8542-4926-b49d-a1a8cdb08fae?rule=kijijica-200-jpg,< 56 minutes ago,"$2,795.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/38/38ad1f9f-c9b2-45b7-a31e-49b2c4bfe429?rule=kijijica-200-jpg,< 59 minutes ago,"$2,900.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d7/d770bfe0-ea72-47b9-8fa9-5646d0c7963e?rule=kijijica-200-jpg,< 2 hours ago,"$2,900.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/f6/f625b139-0dec-4bb9-a5a2-ba2519078748?rule=kijijica-200-jpg,< 2 hours ago,"$3,495.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/f3/f34c8b94-7844-4bfc-a6f6-441d489aa08c?rule=kijijica-200-jpg,< 2 hours ago,"$2,545.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/23/23ddc3da-72ce-4b36-9b3e-b8c56af598b5?rule=kijijica-200-jpg,< 2 hours ago,"$2,350.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/70/706f5716-a44a-4f98-a742-bcc80e44fc40?rule=kijijica-200-jpg,< 2 hours ago,"$3,595.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/94/940dc195-8d53-4a77-b4dc-5b1f2efd44c5?rule=kijijica-200-jpg,< 2 hours ago,"$2,745.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/e1/e1bf92e6-cf12-4688-9979-1cbeadce05a2?rule=kijijica-200-jpg,< 2 hours ago,"$2,345.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d7/d7d51f78-b799-4e6b-b09d-abc30d64b131?rule=kijijica-200-jpg,< 2 hours ago,"$2,295.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/a6/a6619531-ccd9-427d-a987-75765b63a90c?rule=kijijica-200-jpg,< 2 hours ago,"$2,845.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ad/ad933697-f9c1-4a55-809f-f33f1059c851?rule=kijijica-200-jpg,< 2 hours ago,"$2,145.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/44/44db3d28-a583-4929-9104-fd796db96d03?rule=kijijica-200-jpg,< 2 hours ago,"$3,045.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/66/66a2b71c-3a65-4699-8bc7-da779b74f2ee?rule=kijijica-200-jpg,< 2 hours ago,"$2,615.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/29/2979aab8-9cc8-4dcb-850c-c51ad983de4f?rule=kijijica-200-jpg,< 2 hours ago,"$2,445.00"
https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/7d/7ddda3a2-d362-4e76-af1d-50d1085ff639?rule=kijijica-200-jpg,< 2 hours ago,"$2,995.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/6f/6f70ecb6-6483-4921-8b0c-8decc2835f20?rule=kijijica-200-jpg,< 2 hours ago,"$2,250.00"
https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/d4/d4d28a58-bc13-40e4-b2ab-12d5529976a6?rule=kijijica-200-jpg,< 2 hours ago,"$2,135.00"
,,"$2,845.00"
